,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
6333,R07876,reverse,KEGG,,C12640 + C00010 => C08725 + C00323,C12640 + C00010,C08725 + C00323,69.0,69.0,69.0,
8887,R11173,reverse,KEGG,,C00194 + C00009 => C21153 + C00001,C00194 + C00009,C21153 + C00001,69.0,69.0,69.0,
4402,R04540_v2,reverse,KEGG (Modified),"Heme, Generic FeS",C04628 + C03576 + C11903 + Z00025 + Z00063 => C04832 + C11904 + Z00025 + Z00063,C04628 + C03576 + C11903 + Z00025 + Z00063,C04832 + C11904 + Z00025 + Z00063,69.0,69.0,69.0,
6575,R08206_v1,forward,KEGG (Modified),FAD,C01176 + C00005 + C00080 + C00007 + Z00013 => C00280 + C00033 + C00006 + C00001 + Z00013,C01176 + C00005 + C00080 + C00007 + Z00013,C00280 + C00033 + C00006 + C00001 + Z00013,64.0,74.0,69.0,
8886,R11173,forward,KEGG,,C21153 + C00001 => C00194 + C00009,C21153 + C00001,C00194 + C00009,69.0,69.0,69.0,
4401,R04540_v2,forward,KEGG (Modified),"Heme, Generic FeS",C04832 + C11904 + Z00025 + Z00063 => C04628 + C03576 + C11903 + Z00025 + Z00063,C04832 + C11904 + Z00025 + Z00063,C04628 + C03576 + C11903 + Z00025 + Z00063,69.0,69.0,69.0,
4400,R04540_v1,reverse,KEGG (Modified),"4Fe4S, Heme",C04628 + C03576 + C11903 + Z00025 + Z00002 => C04832 + C11904 + Z00025 + Z00002,C04628 + C03576 + C11903 + Z00025 + Z00002,C04832 + C11904 + Z00025 + Z00002,69.0,69.0,69.0,
4399,R04540_v1,forward,KEGG (Modified),"4Fe4S, Heme",C04832 + C11904 + Z00025 + Z00002 => C04628 + C03576 + C11903 + Z00025 + Z00002,C04832 + C11904 + Z00025 + Z00002,C04628 + C03576 + C11903 + Z00025 + Z00002,69.0,69.0,69.0,
7196,R09095_v1,forward,KEGG (Modified),"Cytochrome, Ni, Generic FeS",C11903 + C00282 + Z00034 + Z00063 + Z00010 => C11904 + Z00034 + Z00063 + Z00010,C11903 + C00282 + Z00034 + Z00063 + Z00010,C11904 + Z00034 + Z00063 + Z00010,69.0,69.0,69.0,
6744,R08518_v1,forward,KEGG (Modified),Cytochrome,C01176 + C03024 + C00007 + Z00010 => C00280 + C00033 + C03161 + C00001 + Z00010,C01176 + C03024 + C00007 + Z00010,C00280 + C00033 + C03161 + C00001 + Z00010,64.0,74.0,69.0,
9441,R11874,reverse,KEGG,,C00876 + C11904 => C01080 + C11903,C00876 + C11904,C01080 + C11903,69.0,69.0,69.0,
7197,R09095_v1,reverse,KEGG (Modified),"Cytochrome, Ni, Generic FeS",C11904 + Z00034 + Z00063 + Z00010 => C11903 + C00282 + Z00034 + Z00063 + Z00010,C11904 + Z00034 + Z00063 + Z00010,C11903 + C00282 + Z00034 + Z00063 + Z00010,69.0,69.0,69.0,
9440,R11874,forward,KEGG,,C01080 + C11903 => C00876 + C11904,C01080 + C11903,C00876 + C11904,69.0,69.0,69.0,
4223,R04328_v1,reverse,KEGG (Modified),Fe,3C00007 + 3C00005 + 3C00080 + C05111 + Z00015 => 4C00001 + 3C00006 + C01189 + C00011 + Z00015,3C00007 + 3C00005 + 3C00080 + C05111 + Z00015,4C00001 + 3C00006 + C01189 + C00011 + Z00015,69.0,69.0,69.0,
6330,R07875,forward,KEGG,,C16297 + C00029 => C12640 + C00015,C16297 + C00029,C12640 + C00015,69.0,69.0,69.0,
